thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,force_advance_2.keys,key_resp.rt,key_resp.duration,force_end_of_routine_if_pressed_2.keys,force_end_of_routine_if_pressed_2.rt,force_end_of_routine_if_pressed_2.duration,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,ir_zero_otherwise_press.stopped,text_2.stopped,n_back_instructions.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,response_time_into_iti,trials.key_resp.keys,trials.key_resp.corr,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,trials.key_resp.rt,trials.key_resp.duration,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,block.force_end_of_routine_if_pressed_2.rt,block.force_end_of_routine_if_pressed_2.duration,press_to_continue_prompt.stopped,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030099749972578138,0.03074575000209734,True,practice_2back,[2],5,1,main_2back,[2],60,1,practice_0back,[0],5,1,main_0back,[0],60,1,practice_1back,[1],5,1,main_1back,[1],60,1,6,2.25,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-05_15h40.20.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008506_s_2.25,001,2026-02-05_15h40.20.526,n-back,2024.2.4,None,2026-02-05 15h40.40.230128 -0800,
0,0,0,None,None,1,None,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.844543666986283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09844254195922986,0.10524224996333942,0.10524224996333942,0.10204700033258025,2.331144750646005,2.3812358339782804,9.83121983363914,10.572860749962274,10.631197458660852,11.397883708996233,11.852659541997127,13.29787824995583,14.069513291993644,14.081246958641957,14.069513291993644,15.838154333992861,right,1.6749782499973662,0.07976966700516641,None,15.844340458977968,15.855042374983896,15.855042374983896,16.833456499967724,None,16.840710083954036,16.844543666986283,16.847965041645026,16.844543666986283,16.844543666986283,True,17.5811606249772,17.58583670895314,17.61446974996943,True,19.822750708961394,19.8262647499796,practice_2back,Practice 2-back,1,0,008506_s_2.25,001,2026-02-05_15h40.20.526,1,1,2,2_back,5,1,1,1,0,1,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,880,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.991361416003201,N/A,N/A,N/A,N/A,N/A,N/A,0,none,None,2.25,2.25,0.0,0.75,3.0,no_response,N/A,None,1,None,19.838690374977887,19.84268812497612,19.84268812497612,20.06658599997172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008506_s_2.25,001,2026-02-05_15h40.20.526,n-back,2024.2.4,None,2026-02-05 15h40.40.230128 -0800,
1,0,1,None,['left'],-1,None,[1.7040950420196168],[0.11307408299762756],,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,20.07102545897942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.068295250006486,20.07102545897942,20.081189833643535,20.07102545897942,20.07102545897942,True,20.814580250007566,20.82480029197177,20.847946874971967,True,23.052654667000752,23.055327583977487,practice_2back,Practice 2-back,1,0,008506_s_2.25,001,2026-02-05_15h40.20.526,1,1,2,2_back,5,1,2,2,0,1,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,880,baseline,None,left,non_target_response,1704.1,1.7041,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.9877465829486027,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,1704.1,2.25,2.25,0.0,0.75,3.0,during_iti,0.9541,['left'],-1,None,23.06311641697539,23.069208375003655,23.069208375003655,23.299942208977882,[1.7040950420196168],[0.11307408299762756],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008506_s_2.25,001,2026-02-05_15h40.20.526,n-back,2024.2.4,None,2026-02-05 15h40.40.230128 -0800,
2,0,2,None,['left'],1,None,[0.9563709160429426],[0.10834058397449553],,,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,23.306218291982077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.30309820896946,23.306218291982077,23.31454341666928,23.306218291982077,23.306218291982077,True,24.047896292002406,24.05301012500422,24.081128583988175,True,26.285280041978694,26.288215499953367,practice_2back,Practice 2-back,1,0,008506_s_2.25,001,2026-02-05_15h40.20.526,1,1,2,2_back,5,1,3,3,1,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,956.37,0.9564,1,True,correct_rejection,0,0,0,1,0,0,1.0,1,1,2.987029917014297,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,1,left,956.37,2.25,2.25,0.0,0.75,3.0,during_iti,0.2064,['left'],1,None,26.29520945897093,26.301709249964915,26.301709249964915,26.53342699998757,[0.9563709160429426],[0.10834058397449553],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008506_s_2.25,001,2026-02-05_15h40.20.526,n-back,2024.2.4,None,2026-02-05 15h40.40.230128 -0800,
3,0,3,None,['left'],1,None,[0.7710137499962002],[0.1087315829936415],,,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,26.539766541973222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.536654874973465,26.539766541973222,26.547995583623802,26.539766541973222,26.539766541973222,True,27.2812574999989,27.285850708954968,27.314445875003003,True,29.51918183400994,29.522011291992385,practice_2back,Practice 2-back,1,0,008506_s_2.25,001,2026-02-05_15h40.20.526,1,1,2,2_back,5,1,4,4,2,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,771.01,0.771,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,2.987425958039239,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,771.01,2.25,2.25,0.0,0.75,3.0,during_iti,0.021,['left'],1,None,29.52437329199165,29.53126187500311,29.53126187500311,29.766580708965193,[0.7710137499962002],[0.1087315829936415],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008506_s_2.25,001,2026-02-05_15h40.20.526,n-back,2024.2.4,None,2026-02-05 15h40.40.230128 -0800,
4,0,4,None,['right'],1,None,[0.4735113339847885],[0.10795833298470825],,,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,29.77174808399286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.76847099995939,29.77174808399286,29.781218625667194,29.77174808399286,29.77174808399286,True,30.514459792000707,30.51877120899735,30.54790295899147,True,32.75282554200385,32.75567529199179,practice_2back,Practice 2-back,1,0,008506_s_2.25,001,2026-02-05_15h40.20.526,1,1,2,2_back,5,1,5,5,3,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,target,True,right,target_response,473.51,0.4735,1,True,hit,1,0,0,0,0,0,1.0,3,3,2.9879133329959586,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,473.51,2.25,2.25,0.0,0.75,3.0,during_stimulus,,['right'],1,None,32.75824383395957,32.76452858396806,32.76452858396806,32.99998299998697,[0.4735113339847885],[0.10795833298470825],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008506_s_2.25,001,2026-02-05_15h40.20.526,n-back,2024.2.4,None,2026-02-05 15h40.40.230128 -0800,
5,0,5,None,['left'],1,None,[0.6909205410047434],[0.1274572919937782],,,,0,0,0,0,0,0,0,0,,,,,5,0,5,0,33.00641216698568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00329966697609,33.00641216698568,33.01458154165108,33.00641216698568,33.00641216698568,True,33.74790112499613,33.75259549997281,33.78120349999517,True,35.986405792005826,35.98937454196857,practice_2back,Practice 2-back,1,0,008506_s_2.25,001,2026-02-05_15h40.20.526,1,1,2,2_back,5,1,6,6,4,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,690.92,0.6909,1,True,correct_rejection,0,0,0,1,0,0,1.0,4,4,2.9881158329662867,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,690.92,2.25,2.25,0.0,0.75,3.0,during_stimulus,,['left'],1,None,35.99183766701026,35.99796000000788,35.99796000000788,36.23329629196087,[0.6909205410047434],[0.1274572919937782],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008506_s_2.25,001,2026-02-05_15h40.20.526,n-back,2024.2.4,None,2026-02-05 15h40.40.230128 -0800,
6,0,6,None,['left'],1,None,[0.8722135410062037],[0.09679245896404609],,,,0,0,0,0,0,0,0,0,,,,,6,0,6,0,36.2391765419743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2360886670067,36.2391765419743,36.24792420864493,36.2391765419743,36.2391765419743,True,36.98466183396522,36.98466183396522,37.01452041696757,True,39.23105866700644,39.22199599997839,practice_2back,Practice 2-back,1,0,008506_s_2.25,001,2026-02-05_15h40.20.526,1,1,2,2_back,5,1,7,7,5,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,872.21,0.8722,1,True,correct_rejection,0,0,0,1,0,0,1.0,5,5,2.9873987089958973,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,872.21,2.25,2.25,0.0,0.75,3.0,during_iti,0.1222,['left'],1,None,39.225923666963354,39.23105866700644,39.23105866700644,39.46691783395363,[0.8722135410062037],[0.09679245896404609],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008506_s_2.25,001,2026-02-05_15h40.20.526,n-back,2024.2.4,None,2026-02-05 15h40.40.230128 -0800,
0,0,0,None,,,,,,None,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice_2back,Practice 2-back,,0,,001,2026-02-05_15h40.20.526,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.0,2,5,5,1,0,0,0,0,4,0,1.0,0.0,4.6527,39.49010570900282,39.49389262497425,39.49389262497425,39.497866208323586,42.897895417001564,44.45523229200626,None,,,,,,,,,008506_s_2.25,001,2026-02-05_15h40.20.526,n-back,2024.2.4,None,2026-02-05 15h40.40.230128 -0800,
0,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-05_15h40.20.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008506_s_2.25,001,2026-02-05_15h40.20.526,n-back,2024.2.4,None,2026-02-05 15h40.40.230128 -0800,
