thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,force_advance_2.keys,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,n_back_instructions.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,text_2.stopped,ir_zero_otherwise_press.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,response_time_into_iti,press_to_continue_prompt.stopped,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024408542027231306,0.02499270800035447,True,practice_0back,[0],5,1,main_0back,[0],60,1,practice_1back,[1],5,1,main_1back,[1],60,1,practice_2back,[2],5,1,main_2back,[2],60,1,6,2.25,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_14h40.32.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
0,0,0,None,['left'],1,[0.5943163749761879],[0.12019270902965218],None,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.223523125052452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0686940000159666,0.07496145804179832,0.07496145804179832,0.07727166668434317,2.3286883747243943,2.3452652080450207,9.813275375054218,9.829942041720885,10.578637833008543,10.628684749714255,11.81602033303352,13.120002083014697,14.066644208040088,14.078701999682623,14.066644208040088,15.221969875041395,right,1.0332113329786807,0.10515112499706447,None,15.22800870804349,15.23750095802825,15.23750095802825,16.21413350000512,None,16.22036995802773,16.223523125052452,16.22859149967941,16.223523125052452,16.223523125052452,True,16.962011375057045,16.96684454201022,16.995503875019494,True,19.20052262500394,19.20303995802533,practice_0back,Practice 0-back,1,0,082527_j_2.25,001,2026-02-04_14h40.32.795,1,1,0,0_back,5,1,1,1,1,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,594.32,0.5943,1,True,correct_rejection,0,0,0,1,0,0,1.0,1,1,2.9880102919996716,N/A,N/A,N/A,N/A,N/A,N/A,1,left,594.32,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5943163749761879],[0.12019270902965218],None,19.21269354200922,19.217371292004827,19.217371292004827,19.44726637500571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
1,0,1,None,['left'],1,[0.6075187919777818],[0.1244141660281457],None,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,19.453157000010833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.450369792000856,19.453157000010833,19.461920083678947,19.453157000010833,19.453157000010833,True,20.19542566704331,20.200913042004686,20.22870179201709,True,22.433212875039317,22.435853708011564,practice_0back,Practice 0-back,1,0,082527_j_2.25,001,2026-02-04_14h40.32.795,1,1,0,0_back,5,1,2,2,2,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,607.52,0.6075,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,2.9875710839987732,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,607.52,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.6075187919777818],[0.1244141660281457],None,22.442587708006613,22.462137292022817,22.462137292022817,22.68067820800934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
2,0,2,None,['left'],1,[0.3878898340044543],[0.13297450001118705],None,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,22.686093542026356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.68322095804615,22.686093542026356,22.69535645872044,22.686093542026356,22.686093542026356,True,23.428663708036765,23.43383116699988,23.462056292046327,True,25.666762417007703,25.669518542010337,practice_0back,Practice 0-back,1,0,082527_j_2.25,001,2026-02-04_14h40.32.795,1,1,0,0_back,5,1,3,3,3,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,387.89,0.3879,1,True,correct_rejection,0,0,0,1,0,0,1.0,3,3,2.9877760839881375,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,1,left,387.89,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.3878898340044543],[0.13297450001118705],None,25.673052875034045,25.678736833040603,25.678736833040603,25.91386358300224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
3,0,3,None,['right'],1,[0.38064824999310076],[0.13002745801350102],None,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,25.92067554203095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.91777366702445,25.92067554203095,25.928612499676333,25.92067554203095,25.92067554203095,True,26.662005500053056,26.666775625024457,26.69537454203237,True,28.900392417039257,28.90288375003729,practice_0back,Practice 0-back,1,0,082527_j_2.25,001,2026-02-04_14h40.32.795,1,1,0,0_back,5,1,4,4,4,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,380.65,0.3806,1,True,hit,1,0,0,0,0,0,1.0,4,4,2.9881082919891924,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,380.65,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.38064824999310076],[0.13002745801350102],None,28.906557625043206,28.91196008300176,28.91196008300176,29.147240708000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
4,0,4,None,['left'],1,[0.6295450829784386],[0.12313675001496449],None,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,29.152988625050057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.15017566701863,29.152988625050057,29.161941583679678,29.152988625050057,29.152988625050057,True,29.895438167033717,29.899850000045262,29.928767708013766,True,32.13363145804033,32.13617550005438,practice_0back,Practice 0-back,1,0,082527_j_2.25,001,2026-02-04_14h40.32.795,1,1,0,0_back,5,1,5,5,5,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,629.55,0.6295,1,True,correct_rejection,0,0,0,1,0,0,1.0,5,5,2.98803087498527,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,629.55,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.6295450829784386],[0.12313675001496449],None,32.13845633302117,32.14526216703234,32.14526216703234,32.38073441700544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
0,0,0,None,,,,,,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice_0back,Practice 0-back,,0,,001,2026-02-04_14h40.32.795,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.0,0,5,5,1,0,0,0,0,4,0,1.0,0.0,4.6527,32.40139883302618,32.404760667006485,32.404760667006485,32.41200266633726,35.81191916705575,37.36933833302464,None,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_14h40.32.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
0,0,0,None,['right'],1,[0.6470174579881132],[0.11612520803464577],None,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.35334316705121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.40386679203948,37.4072038330487,37.4072038330487,37.41700179200852,41.678713124714946,41.19954775000224,49.161960958037525,49.17862762470419,49.9198551250156,49.97872995870809,49.15036358300131,52.470303583017085,53.41680037503829,53.42866574967435,53.41680037503829,55.34867912501795,right,1.8326763340155594,0.09411008300958201,None,55.354066458006855,55.357047708006576,55.357047708006576,56.347502875025384,None,56.35044112504693,56.35334316705121,56.362000249679355,56.35334316705121,56.35334316705121,True,57.09530045802239,57.09983195801033,57.12866050004959,True,59.33388525003102,59.33637791703222,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,1,1,1,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,647.02,0.647,1,True,hit,1,0,0,0,0,0,1.0,1,1,2.987924750021193,N/A,N/A,N/A,N/A,N/A,N/A,1,right,647.02,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.6470174579881132],[0.11612520803464577],None,59.340289708052296,59.344824375002645,59.344824375002645,59.58076250000158,,,,,,,,,,,,,,,,,,,,,,,56.35334316705121,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
1,0,1,None,['left'],1,[0.4818762909853831],[0.1487072089803405],None,,1,0,1,0,0,0,0,0,,,,,1,0,1,0,59.58666395803448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.58369641704485,59.58666395803448,59.595357541697254,59.58666395803448,59.58666395803448,True,60.32867937500123,60.33340091700666,60.361986792006064,True,62.566790292039514,62.56936195801245,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,2,2,2,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,481.88,0.4819,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,2.9877007919712923,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,481.88,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.4818762909853831],[0.1487072089803405],None,62.57313633302692,62.578570208046585,62.578570208046585,62.81407300004503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
