thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,force_advance_2.keys,key_resp.rt,key_resp.duration,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,n_back_instructions.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,text_2.stopped,ir_zero_otherwise_press.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,press_to_continue_prompt.stopped,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,response_time_into_iti,trials.key_resp.keys,trials.key_resp.corr,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,trials.key_resp.rt,trials.key_resp.duration,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,fb_sound.stopped,text_countdown.stopped,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04959429200971499,0.05016287503531203,True,practice_0back,[0],5,1,main_0back,[0],60,1,practice_2back,[2],5,1,main_2back,[2],60,1,practice_1back,[1],5,1,main_1back,[1],60,1,6,1.25,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_14h28.18.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149174_J_1.25,001,2026-02-04_14h28.18.687,n-back,2024.2.4,None,2026-02-04 14h28.36.308312 -0800,
0,0,0,None,None,0,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.74394629203016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11156208300963044,0.11731679202057421,0.11731679202057421,0.11794383336867516,2.3565408746983545,2.3898826250224374,9.839807707990985,9.856474374657653,10.598112125007901,10.656476833686854,11.861223708023317,13.14808804198401,14.094564500031993,14.106577541683025,14.094564500031993,17.789726292015985,18.74343295802828,right,4.535021167015657,0.10934954101685435,None,18.745390708034392,18.754952042014338,18.754952042014338,19.729872542025987,None,19.736512917035725,19.74394629203016,19.744058374668626,19.74394629203016,19.74394629203016,True,20.47826837503817,20.489865624986123,20.506387375004124,True,21.72323141701054,21.725638500007335,practice_0back,Practice 0-back,1,0,149174_J_1.25,001,2026-02-04_14h28.18.687,1,1,0,0_back,5,1,1,1,1,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,none,no_response,None,None,0,False,no_response_on_non_target,0,0,0,0,0,1,0.0,0,1,1.995030082995072,N/A,N/A,N/A,N/A,N/A,N/A,0,none,None,1.25,1.25,0.0,0.75,2.0,no_response,N/A,None,0,None,21.73682304203976,21.74048949999269,21.74048949999269,21.96372333302861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149174_J_1.25,001,2026-02-04_14h28.18.687,n-back,2024.2.4,None,2026-02-04 14h28.36.308312 -0800,
1,0,1,None,None,0,None,,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,21.973211500036996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.96536837500753,21.973211500036996,21.978222291687658,21.973211500036996,21.973211500036996,True,22.71163662499748,22.71163662499748,22.73987049999414,True,23.956473375030328,23.958914000017103,practice_0back,Practice 0-back,1,0,149174_J_1.25,001,2026-02-04_14h28.18.687,1,1,0,0_back,5,1,2,2,2,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,none,no_response,None,None,0,False,no_response_on_non_target,0,0,0,0,0,1,0.0,0,2,1.9943809579708613,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,0,none,None,1.25,1.25,0.0,0.75,2.0,no_response,N/A,None,0,None,23.959303791983984,23.9613427920267,23.9613427920267,24.196768833033275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149174_J_1.25,001,2026-02-04_14h28.18.687,n-back,2024.2.4,None,2026-02-04 14h28.36.308312 -0800,
2,0,2,None,['right'],1,None,[1.620833541965112],[0.09269291599048302],,0,0,0,0,0,0,0,0,,,,,2,0,2,0,24.206429167010356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.199202208023053,24.206429167010356,24.21139770868855,24.206429167010356,24.206429167010356,True,24.94461137498729,24.94461137498729,24.97318729199469,True,26.189849250018597,26.192373541998677,practice_0back,Practice 0-back,1,0,149174_J_1.25,001,2026-02-04_14h28.18.687,1,1,0,0_back,5,1,3,3,3,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,1620.83,1.6208,1,True,hit,1,0,0,0,0,0,0.3333,1,3,1.9947870839969255,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,1,right,1620.83,1.25,1.25,0.0,0.75,2.0,during_iti,0.8708,['right'],1,None,26.202883624995593,26.206571542017628,26.206571542017628,26.430158458009828,[1.620833541965112],[0.09269291599048302],,,,,,,,,,,,,,,,,,,,,,,,,,,,149174_J_1.25,001,2026-02-04_14h28.18.687,n-back,2024.2.4,None,2026-02-04 14h28.36.308312 -0800,
3,0,3,None,None,0,None,,,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,26.439860208018217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.433271582995076,26.439860208018217,26.444708291677912,26.439860208018217,26.439860208018217,True,27.178239083033986,27.178239083033986,27.206412208033726,True,28.423216500028502,28.4257217500126,practice_0back,Practice 0-back,1,0,149174_J_1.25,001,2026-02-04_14h28.18.687,1,1,0,0_back,5,1,4,4,4,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,none,no_response,None,None,0,False,no_response_on_non_target,0,0,0,0,0,1,0.25,1,4,1.9947343749809079,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,0,none,None,1.25,1.25,0.0,0.75,2.0,no_response,N/A,None,0,None,28.43264354200801,28.435749375028536,28.435749375028536,28.66507766698487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149174_J_1.25,001,2026-02-04_14h28.18.687,n-back,2024.2.4,None,2026-02-04 14h28.36.308312 -0800,
4,0,4,None,None,0,None,,,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,28.672583917039447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.668349125015084,28.672583917039447,28.679577458653753,28.672583917039447,28.672583917039447,True,29.411363416991662,29.411363416991662,29.443805499991868,True,30.656471833004616,30.658892082981765,practice_0back,Practice 0-back,1,0,149174_J_1.25,001,2026-02-04_14h28.18.687,1,1,0,0_back,5,1,5,5,5,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,none,no_response,None,None,0,False,no_response_on_non_target,0,0,0,0,0,1,0.2,1,5,1.9930713329813443,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,0,none,None,1.25,1.25,0.0,0.75,2.0,no_response,N/A,None,0,None,30.65930462500546,30.661588624992874,30.661588624992874,30.897188000031747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149174_J_1.25,001,2026-02-04_14h28.18.687,n-back,2024.2.4,None,2026-02-04 14h28.36.308312 -0800,
0,0,0,None,,,,,,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice_0back,Practice 0-back,,0,,001,2026-02-04_14h28.18.687,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.2,0,5,1,1,0,0,0,0,0,4,1.0,N/A,N/A,30.92051116703078,30.924170042038895,30.924170042038895,30.928377791315626,35.892217791988514,None,,,,,,,149174_J_1.25,001,2026-02-04_14h28.18.687,n-back,2024.2.4,None,2026-02-04 14h28.36.308312 -0800,
0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_14h28.18.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149174_J_1.25,001,2026-02-04_14h28.18.687,n-back,2024.2.4,None,2026-02-04 14h28.36.308312 -0800,
0,0,0,None,['left'],1,None,[0.5142084579565562],[0.10481779201654717],,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.51474287500605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.93214758299291,35.93567299999995,35.93567299999995,35.93986612501321,40.206538958653496,39.72323295800015,47.689919291995466,47.70658595866213,48.44813704199623,48.49539458367896,47.67811491701286,50.989803833013866,51.94465595803922,51.95660804165915,51.94465595803922,,53.51519433298381,right,1.4743734159856103,0.0922910840017721,None,53.520390667021275,53.53993308299687,53.53993308299687,54.5087481670198,None,54.51146616699407,54.51474287500605,54.52316316665771,54.51474287500605,54.51474287500605,True,55.25651754200226,55.26084800000535,55.28983670799062,True,56.49475979199633,56.49729883298278,main_0back,Main 0-back,2,0,149174_J_1.25,001,2026-02-04_14h28.18.687,2,1,0,0_back,60,1,1,1,1,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,514.21,0.5142,1,True,correct_rejection,0,0,0,1,0,0,1.0,1,1,1.987597958999686,N/A,N/A,N/A,N/A,N/A,N/A,1,left,514.21,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['left'],1,None,56.50713620800525,56.51196891703876,56.51196891703876,56.74188387498725,[0.5142084579565562],[0.10481779201654717],,,,,,,,,,,,,,,,,,,,,,,,,,,,149174_J_1.25,001,2026-02-04_14h28.18.687,n-back,2024.2.4,None,2026-02-04 14h28.36.308312 -0800,
1,0,1,None,['left'],1,None,[0.6058825420332141],[0.12876791699090973],,1,0,1,0,0,0,0,0,,,,,1,0,1,0,56.74731366703054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.744346374995075,56.74731366703054,56.756457041661875,56.74731366703054,56.74731366703054,True,57.48986979201436,57.49501675000647,57.5232875419897,True,58.7281390420394,58.73064858303405,main_0back,Main 0-back,2,0,149174_J_1.25,001,2026-02-04_14h28.18.687,2,1,0,0_back,60,1,2,2,2,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,605.88,0.6059,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,1.9879180840216577,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,605.88,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['left'],1,None,58.73670020798454,58.75669608300086,58.75669608300086,58.975160958012566,[0.6058825420332141],[0.12876791699090973],,,,,,,,,,,,,,,,,,,,,,,,,,,,149174_J_1.25,001,2026-02-04_14h28.18.687,n-back,2024.2.4,None,2026-02-04 14h28.36.308312 -0800,
