thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,force_advance_2.keys,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,n_back_instructions.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,text_2.stopped,ir_zero_otherwise_press.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,response_time_into_iti,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05239870899822563,0.053142999997362494,True,practice_0back,[0],5,1,main_0back,[0],60,1,practice_2back,[2],5,1,main_2back,[2],60,1,practice_1back,[1],5,1,main_1back,[1],60,1,6,1.25,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_15h38.01.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329115_jt_1.25,001,2026-02-04_15h38.01.906,n-back,2024.2.4,None,2026-02-04 15h38.17.023024 -0800,
0,0,0,None,['left'],1,[0.6775778750306927],[0.1679760420229286],None,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.304126583971083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11024087498662993,0.11776449996978045,0.11776449996978045,0.11426762534150232,2.3595652916740315,2.392995667003561,9.842920124996454,9.859586791663121,10.600956459005829,10.659440958643488,11.864010583958589,13.150963916967157,14.0975936249597,14.109658250647287,14.0975936249597,17.29624158400111,right,3.0984734580270015,0.09283029200742021,None,17.30254075000994,17.31157991697546,17.31157991697546,18.2952812089934,None,18.300968541996554,18.304126583971083,18.30967233365324,18.304126583971083,18.304126583971083,True,19.04286124999635,19.048027124954388,19.07613337499788,True,20.28075141698355,20.283546958991792,practice_0back,Practice 0-back,1,0,329115_jt_1.25,001,2026-02-04_15h38.01.906,1,1,0,0_back,5,1,1,1,1,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,677.58,0.6776,1,True,correct_rejection,0,0,0,1,0,0,1.0,1,1,1.9871087500359863,N/A,N/A,N/A,N/A,N/A,N/A,1,left,677.58,1.25,1.25,0.0,0.75,2.0,during_stimulus,['left'],1,[0.6775778750306927],[0.1679760420229286],None,20.293595958966762,20.29826241696719,20.29826241696719,20.528655916976277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329115_jt_1.25,001,2026-02-04_15h38.01.906,n-back,2024.2.4,None,2026-02-04 15h38.17.023024 -0800,
1,0,1,None,['left'],1,[0.414578249969054],[0.1494526659953408],None,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,20.53304691700032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.530234208970796,20.53304691700032,20.542984208619842,20.53304691700032,20.53304691700032,True,21.2763101249584,21.28074287500931,21.309535291977227,True,22.51473995897686,22.517573416989762,practice_0back,Practice 0-back,1,0,329115_jt_1.25,001,2026-02-04_15h38.01.906,1,1,0,0_back,5,1,2,2,2,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,414.58,0.4146,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,1.987740875047166,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,414.58,1.25,1.25,0.0,0.75,2.0,during_stimulus,['left'],1,[0.414578249969054],[0.1494526659953408],None,22.52440116700018,22.530652291956358,22.530652291956358,22.761715708998963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329115_jt_1.25,001,2026-02-04_15h38.01.906,n-back,2024.2.4,None,2026-02-04 15h38.17.023024 -0800,
2,0,2,None,['left'],1,[0.44598683301592246],[0.15108312497613952],None,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,22.767611249990296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.764941166969948,22.767611249990296,22.77629841666591,22.767611249990296,22.767611249990296,True,23.50952295900788,23.514200249977876,23.54282404197147,True,24.747379584005103,24.75012283399701,practice_0back,Practice 0-back,1,0,329115_jt_1.25,001,2026-02-04_15h38.01.906,1,1,0,0_back,5,1,3,3,3,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,445.99,0.446,1,True,correct_rejection,0,0,0,1,0,0,1.0,3,3,1.9873092909692787,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,1,left,445.99,1.25,1.25,0.0,0.75,2.0,during_stimulus,['left'],1,[0.44598683301592246],[0.15108312497613952],None,24.753239916986786,24.759542374988087,24.759542374988087,24.994891499984078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329115_jt_1.25,001,2026-02-04_15h38.01.906,n-back,2024.2.4,None,2026-02-04 15h38.17.023024 -0800,
3,0,3,None,['right'],1,[0.4490618749987334],[0.14046850003069267],None,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,24.999209208996035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.99664154200582,24.999209208996035,25.00959075062225,24.999209208996035,24.999209208996035,True,25.74295137496665,25.74736524996115,25.77614429197274,True,26.981462624971755,26.98395254201023,practice_0back,Practice 0-back,1,0,329115_jt_1.25,001,2026-02-04_15h38.01.906,1,1,0,0_back,5,1,4,4,4,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,449.06,0.4491,1,True,hit,1,0,0,0,0,0,1.0,4,4,1.9882416250184178,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,449.06,1.25,1.25,0.0,0.75,2.0,during_stimulus,['right'],1,[0.4490618749987334],[0.14046850003069267],None,26.987428749969695,26.99280483397888,26.99280483397888,27.228214834001847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329115_jt_1.25,001,2026-02-04_15h38.01.906,n-back,2024.2.4,None,2026-02-04 15h38.17.023024 -0800,
4,0,4,None,['left'],1,[0.4684013749938458],[0.14425574999768287],None,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,27.23413904197514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.231445083976723,27.23413904197514,27.242900625631833,27.23413904197514,27.23413904197514,True,27.976141208957415,27.980750999995507,28.00946708396077,True,29.21365320897894,29.21669995895354,practice_0back,Practice 0-back,1,0,329115_jt_1.25,001,2026-02-04_15h38.01.906,1,1,0,0_back,5,1,5,5,5,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,468.4,0.4684,1,True,correct_rejection,0,0,0,1,0,0,1.0,5,5,1.9872327499906532,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,468.4,1.25,1.25,0.0,0.75,2.0,during_stimulus,['left'],1,[0.4684013749938458],[0.14425574999768287],None,29.22036829200806,29.22620358399581,29.22620358399581,29.461580791976303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329115_jt_1.25,001,2026-02-04_15h38.01.906,n-back,2024.2.4,None,2026-02-04 15h38.17.023024 -0800,
0,0,0,None,,,,,,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice_0back,Practice 0-back,,0,,001,2026-02-04_15h38.01.906,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.0,0,5,5,1,0,0,0,0,4,0,1.0,0.0,4.6527,29.4841452089604,29.487689499976113,29.487689499976113,29.492939792290173,32.8928632090101,34.45035841700155,None,,,,,,,329115_jt_1.25,001,2026-02-04_15h38.01.906,n-back,2024.2.4,None,2026-02-04 15h38.17.023024 -0800,
0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_15h38.01.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329115_jt_1.25,001,2026-02-04_15h38.01.906,n-back,2024.2.4,None,2026-02-04 15h38.17.023024 -0800,
0,0,0,None,['left'],1,[0.5998037910321727],[0.13644066697452217],None,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51.7159409999731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.48227145895362,34.48614216700662,34.48614216700662,34.49795983395306,38.75960091664844,38.280995166976936,46.243149833986536,46.2598165006532,47.00027354195481,47.05917454162069,46.23266895895358,49.54978612496052,50.4973222920089,50.5091642916707,50.4973222920089,50.71707216696814,right,0.10871895897435024,0.10710958304116502,None,50.722017458989285,50.72558387496974,50.72558387496974,51.711504584003706,None,51.71370579197537,51.7159409999731,51.72580333362954,51.7159409999731,51.7159409999731,True,52.45916525000939,52.45916525000939,52.49249329196755,True,53.697234708990436,53.6999287919607,main_0back,Main 0-back,2,0,329115_jt_1.25,001,2026-02-04_15h38.01.906,2,1,0,0_back,60,1,1,1,1,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,599.8,0.5998,1,True,correct_rejection,0,0,0,1,0,0,1.0,1,1,1.9873548750183545,N/A,N/A,N/A,N/A,N/A,N/A,1,left,599.8,1.25,1.25,0.0,0.75,2.0,during_stimulus,['left'],1,[0.5998037910321727],[0.13644066697452217],None,53.702042041986715,53.70915091695497,53.70915091695497,53.94450549996691,,,,,,,,,,,,,,,,,,,,,,,51.7159409999731,,,,,,329115_jt_1.25,001,2026-02-04_15h38.01.906,n-back,2024.2.4,None,2026-02-04 15h38.17.023024 -0800,
1,0,1,None,['left'],1,[0.36917487502796575],[0.12882283399812877],None,,1,0,1,0,0,0,0,0,,,,,1,0,1,0,53.94851358397864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.94624499999918,53.94851358397864,53.95909412566495,53.94851358397864,53.94851358397864,True,54.69252083398169,54.69720845896518,54.725801083957776,True,55.92987091699615,55.932423541962635,main_0back,Main 0-back,2,0,329115_jt_1.25,001,2026-02-04_15h38.01.906,2,1,0,0_back,60,1,2,2,2,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,369.17,0.3692,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,1.9869784999755211,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,369.17,1.25,1.25,0.0,0.75,2.0,during_stimulus,['left'],1,[0.36917487502796575],[0.12882283399812877],None,55.93533974996535,55.94244670897024,55.94244670897024,56.1776673339773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329115_jt_1.25,001,2026-02-04_15h38.01.906,n-back,2024.2.4,None,2026-02-04 15h38.17.023024 -0800,
