thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,force_advance_2.keys,key_resp.rt,key_resp.duration,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,ir_zero_otherwise_press.stopped,text_2.stopped,n_back_instructions.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,response_time_into_iti,trials.key_resp.keys,trials.key_resp.corr,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,trials.key_resp.rt,trials.key_resp.duration,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03413537499727681,0.03487620799569413,True,practice_1back,[1],5,1,main_1back,[1],60,1,practice_0back,[0],5,1,main_0back,[0],60,1,practice_2back,[2],5,1,main_2back,[2],60,1,6,1.75,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_14h54.40.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385999_j_1.75,001,2026-02-04_14h54.40.994,n-back,2024.2.4,None,2026-02-04 14h54.55.450308 -0800,
0,0,0,None,None,1,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.990593541006092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10961124999448657,0.11921837495174259,0.11921837495174259,0.11470408297609537,2.335402999659224,2.385368457995355,9.835393874618847,10.577002165955491,10.635430291648179,11.402062832959928,11.856868832954206,13.318712332984433,14.074366040993482,14.085394249650806,14.074366040993482,14.982842915982474,right,0.6684596659615636,0.12978362501598895,None,14.989544999960344,15.000920791004319,15.000920791004319,15.975937874987721,None,15.984013624954969,15.990593541006092,15.990196249626267,15.990593541006092,15.990593541006092,True,16.724303249968216,16.735426625004038,16.75202299997909,True,18.468640874954872,18.47111791599309,practice_1back,Practice 1-back,1,0,385999_j_1.75,001,2026-02-04_14h54.40.994,1,1,1,1_back,5,1,1,1,0,1,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,880,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.494338832970243,N/A,N/A,N/A,N/A,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,N/A,None,1,None,18.48297020798782,18.486625707999337,18.486625707999337,18.708704457967542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385999_j_1.75,001,2026-02-04_14h54.40.994,n-back,2024.2.4,None,2026-02-04 14h54.55.450308 -0800,
1,0,1,None,['left'],1,None,[0.5045566250337288],[0.12506729096639901],,0,0,0,0,0,0,0,0,,,,,1,0,1,0,18.7185744579765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.711273916007485,18.7185744579765,18.723157874661652,18.7185744579765,18.7185744579765,True,19.456258916005027,19.456258916005027,19.485248249955475,True,21.213827207975555,21.19439916597912,practice_1back,Practice 1-back,1,0,385999_j_1.75,001,2026-02-04_14h54.40.994,1,1,1,1_back,5,1,2,2,1,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,504.56,0.5046,1,True,correct_rejection,0,0,0,1,0,0,1.0,1,1,2.4846693340223283,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,504.56,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['left'],1,None,21.209223165991716,21.213827207975555,21.213827207975555,21.438861207978334,[0.5045566250337288],[0.12506729096639901],,,,,,,,,,,,,,,,,,,,,,,,,,,,385999_j_1.75,001,2026-02-04_14h54.40.994,n-back,2024.2.4,None,2026-02-04 14h54.55.450308 -0800,
2,0,2,None,['right'],1,None,[0.4320572500000708],[0.1300134169869125],,0,0,0,0,0,0,0,0,,,,,2,0,2,0,21.44482979096938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.440918374981266,21.44482979096938,21.452630124640805,21.44482979096938,21.44482979096938,True,22.185427832999267,22.190390333009418,22.21854837500723,True,23.924877624958754,23.928558165964205,practice_1back,Practice 1-back,1,0,385999_j_1.75,001,2026-02-04_14h54.40.994,1,1,1,1_back,5,1,3,3,2,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,target,True,right,target_response,432.06,0.4321,1,True,hit,1,0,0,0,0,0,1.0,2,2,2.4882182080182247,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,1,right,432.06,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['right'],1,None,23.93366712500574,23.940768582979217,23.940768582979217,24.170925832993817,[0.4320572500000708],[0.1300134169869125],,,,,,,,,,,,,,,,,,,,,,,,,,,,385999_j_1.75,001,2026-02-04_14h54.40.994,n-back,2024.2.4,None,2026-02-04 14h54.55.450308 -0800,
3,0,3,None,['left'],1,None,[0.4287655419902876],[0.1327155830222182],,0,0,0,0,0,0,0,0,,,,,3,0,3,0,24.17753258300945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.174194624996744,24.17753258300945,24.185435207622746,24.17753258300945,24.17753258300945,True,24.91861870797584,24.923532957967836,24.95193533296697,True,26.656791290966794,26.659665249986574,practice_1back,Practice 1-back,1,0,385999_j_1.75,001,2026-02-04_14h54.40.994,1,1,1,1_back,5,1,4,4,3,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,428.77,0.4288,1,True,correct_rejection,0,0,0,1,0,0,1.0,3,3,2.487573541002348,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,428.77,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['left'],1,None,26.663394790957682,26.66850033297669,26.66850033297669,26.904071833007038,[0.4287655419902876],[0.1327155830222182],,,,,,,,,,,,,,,,,,,,,,,,,,,,385999_j_1.75,001,2026-02-04_14h54.40.994,n-back,2024.2.4,None,2026-02-04 14h54.55.450308 -0800,
4,0,4,None,['left'],1,None,[0.5174137089634314],[0.14694095798768103],,0,0,0,0,0,0,0,0,,,,,4,0,4,0,26.909750332997646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.90678687498439,26.909750332997646,26.91864554165319,26.909750332997646,26.909750332997646,True,27.651987832970917,27.657115749956574,27.685288499982562,True,29.39017991599394,29.392784415977076,practice_1back,Practice 1-back,1,0,385999_j_1.75,001,2026-02-04_14h54.40.994,1,1,1,1_back,5,1,5,5,4,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,517.41,0.5174,1,True,correct_rejection,0,0,0,1,0,0,1.0,4,4,2.487781790958252,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,517.41,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['left'],1,None,29.396854749997146,29.401445665978827,29.401445665978827,29.637347832962405,[0.5174137089634314],[0.14694095798768103],,,,,,,,,,,,,,,,,,,,,,,,,,,,385999_j_1.75,001,2026-02-04_14h54.40.994,n-back,2024.2.4,None,2026-02-04 14h54.55.450308 -0800,
5,0,5,None,['left'],1,None,[0.617181709036231],[0.13695700000971556],,0,0,0,0,0,0,0,0,,,,,5,0,5,0,29.64285637496505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63986891595414,29.64285637496505,29.652012749637166,29.64285637496505,29.64285637496505,True,30.38533387496136,30.390573249955196,30.41857599996729,True,32.12348091596505,32.126068915997166,practice_1back,Practice 1-back,1,0,385999_j_1.75,001,2026-02-04_14h54.40.994,1,1,1,1_back,5,1,6,6,5,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,617.18,0.6172,1,True,correct_rejection,0,0,0,1,0,0,1.0,5,5,2.4878603750257753,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,617.18,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['left'],1,None,32.12967570795445,32.135209708008915,32.135209708008915,32.37070049997419,[0.617181709036231],[0.13695700000971556],,,,,,,,,,,,,,,,,,,,,,,,,,,,385999_j_1.75,001,2026-02-04_14h54.40.994,n-back,2024.2.4,None,2026-02-04 14h54.55.450308 -0800,
0,0,0,None,,,,,,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice_1back,Practice 1-back,,0,,001,2026-02-04_14h54.40.994,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.0,1,5,5,1,0,0,0,0,4,0,1.0,0.0,4.6527,32.40429979097098,32.40811258298345,32.40811258298345,32.41866370798088,35.818552332988475,37.3592790410039,None,,,,,,385999_j_1.75,001,2026-02-04_14h54.40.994,n-back,2024.2.4,None,2026-02-04 14h54.55.450308 -0800,
0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_14h54.40.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385999_j_1.75,001,2026-02-04_14h54.40.994,n-back,2024.2.4,None,2026-02-04 14h54.55.450308 -0800,
0,0,0,None,None,1,None,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.728556040965486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4026015829877,37.40627895796206,37.40627895796206,37.40696637496585,41.668666207642914,41.190087541006505,49.168678249643804,49.911319457984064,49.969055332654776,50.735331333009526,49.15201158297714,52.65189612499671,53.40668333298527,53.41865958262157,53.40668333298527,54.72188779100543,right,1.2034502499736845,0.10833862499566749,None,54.727247082977556,54.73042329098098,54.73042329098098,55.72117391595384,None,55.72499470796902,55.728556040965486,55.735259541663495,55.728556040965486,55.728556040965486,True,56.46864537498914,56.473427499993704,56.50201970798662,True,58.2068557079765,58.209377666004,main_1back,Main 1-back,2,0,385999_j_1.75,001,2026-02-04_14h54.40.994,2,1,1,1_back,60,1,1,1,0,1,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,880,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.4872690420015715,N/A,N/A,N/A,N/A,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,N/A,None,1,None,58.22178308299044,58.22492224996677,58.22492224996677,58.4539702499751,,,,,,,,,,,,,,,,,,,,,,,,,55.728556040965486,,,,,385999_j_1.75,001,2026-02-04_14h54.40.994,n-back,2024.2.4,None,2026-02-04 14h54.55.450308 -0800,
