thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,force_advance_2.keys,key_resp.rt,key_resp.duration,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,ir_zero_otherwise_press.stopped,text_2.stopped,n_back_instructions.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,response_time_into_iti,trials.key_resp.keys,trials.key_resp.corr,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,trials.key_resp.rt,trials.key_resp.duration,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,exp_finished.started,text_instr.started,thank_you.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025475291011389345,0.025967749999836087,True,practice_2back,[2],5,1,main_2back,[2],60,1,practice_0back,[0],5,1,main_0back,[0],60,1,practice_1back,[1],5,1,main_1back,[1],60,1,6,1.75,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-05_15h27.32.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
0,0,0,None,None,1,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.188549750018865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08756804099539295,0.0948049160069786,0.0948049160069786,0.0972479583773141,2.3279373326843293,2.3706322500365786,9.827954541662864,10.569665833027102,10.627983957707572,11.394648166024126,11.832801333046518,13.294585333031137,14.066398625029251,14.077999249686643,14.066398625029251,17.175908041012008,right,3.0137032499769703,0.052989125018939376,None,17.182579208048992,17.191204416041728,17.191204416041728,18.169699916034006,None,18.180707291001454,18.188549750018865,18.183697999691745,18.188549750018865,18.188549750018865,True,18.916842083039228,18.932679125049617,18.949746083002537,True,20.661721333046444,20.664877000031993,practice_2back,Practice 2-back,1,0,462892_s_1.75,001,2026-02-05_15h27.32.577,1,1,2,2_back,5,1,1,1,0,1,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,256,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.4940344159840606,N/A,N/A,N/A,N/A,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,N/A,None,1,None,20.677721000043675,20.68254520802293,20.68254520802293,20.902290041034576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
1,0,1,None,None,1,None,,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,20.91095629101619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.905950708023738,20.91095629101619,20.91658891668,20.91095629101619,20.91095629101619,True,21.649915290996432,21.649915290996432,21.677790665999055,True,23.394646458036732,23.39737929101102,practice_2back,Practice 2-back,1,0,462892_s_1.75,001,2026-02-05_15h27.32.577,1,1,2,2_back,5,1,2,2,0,1,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,512,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.494038625038229,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,N/A,None,1,None,23.397763541026507,23.400428000022657,23.400428000022657,23.635663958033547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
2,0,2,None,['left'],1,None,[0.72887674998492],[0.1081889999913983],,0,0,0,0,0,0,0,0,,,,,2,0,2,0,23.644503791001625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.63734762504464,23.644503791001625,23.650296082665832,23.644503791001625,23.644503791001625,True,24.385900375025813,24.385900375025813,24.41604337503668,True,26.14429329102859,26.130430958000943,practice_2back,Practice 2-back,1,0,462892_s_1.75,001,2026-02-05_15h27.32.577,1,1,2,2_back,5,1,3,3,1,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,728.88,0.7289,1,True,correct_rejection,0,0,0,1,0,0,1.0,1,1,2.4939588750130497,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,1,left,728.88,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['left'],1,None,26.14117304101819,26.14429329102859,26.14429329102859,26.36857491603587,[0.72887674998492],[0.1081889999913983],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
3,0,3,None,['left'],1,None,[0.9379786669742316],[0.0948261659941636],,0,0,0,0,0,0,0,0,,,,,3,0,3,0,26.377854541002307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.370471708010882,26.377854541002307,26.382941207677746,26.377854541002307,26.377854541002307,True,27.116037000028882,27.116037000028882,27.144513625011314,True,28.861250874993857,28.86366375000216,practice_2back,Practice 2-back,1,0,462892_s_1.75,001,2026-02-05_15h27.32.577,1,1,2,2_back,5,1,4,4,2,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,937.98,0.938,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,2.494284874992445,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,937.98,1.75,1.75,0.0,0.75,2.5,during_iti,0.188,['left'],1,None,28.867390333034564,28.87016437499551,28.87016437499551,29.101355999999214,[0.9379786669742316],[0.0948261659941636],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
4,0,4,None,['left'],1,None,[1.0708899579476565],[0.09269279200816527],,0,0,0,0,0,0,0,0,,,,,4,0,4,0,29.111350791004952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.105147375026718,29.111350791004952,29.115444124680167,29.111350791004952,29.111350791004952,True,29.85008150001522,29.85008150001522,29.877933915995527,True,31.603344041039236,31.597050333046354,practice_2back,Practice 2-back,1,0,462892_s_1.75,001,2026-02-05_15h27.32.577,1,1,2,2_back,5,1,5,5,3,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,1070.89,1.0709,1,True,correct_rejection,0,0,0,1,0,0,1.0,3,3,2.4948772919597104,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1070.89,1.75,1.75,0.0,0.75,2.5,during_iti,0.3209,['left'],1,None,31.600348958047107,31.603344041039236,31.603344041039236,31.835054750030395,[1.0708899579476565],[0.09269279200816527],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
5,0,5,None,['left'],1,None,[1.0489442499820143],[0.08815679198596627],,0,0,0,0,0,0,0,0,,,,,5,0,5,0,31.844718333042692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.836783833045047,31.844718333042692,31.84957462468107,31.844718333042692,31.844718333042692,True,32.58310662501026,32.58310662501026,32.611204333021306,True,34.328011416015215,34.330762333003804,practice_2back,Practice 2-back,1,0,462892_s_1.75,001,2026-02-05_15h27.32.577,1,1,2,2_back,5,1,6,6,4,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,1048.94,1.0489,1,True,correct_rejection,0,0,0,1,0,0,1.0,4,4,2.49485141702462,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1048.94,1.75,1.75,0.0,0.75,2.5,during_iti,0.2989,['left'],1,None,34.334009333048016,34.33687929104781,34.33687929104781,34.56813762499951,[1.0489442499820143],[0.08815679198596627],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
6,0,6,None,['right'],1,None,[0.7431134170037694],[0.07890383299672976],,0,0,0,0,0,0,0,0,,,,,6,0,6,0,34.5779617500375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.57021254103165,34.5779617500375,34.5825213746905,34.5779617500375,34.5779617500375,True,35.316340666031465,35.316340666031465,35.3439906660351,True,37.061358333041426,37.06378362502437,practice_2back,Practice 2-back,1,0,462892_s_1.75,001,2026-02-05_15h27.32.577,1,1,2,2_back,5,1,7,7,5,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,target,True,right,target_response,743.11,0.7431,1,True,hit,1,0,0,0,0,0,1.0,5,5,2.494860625010915,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,743.11,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['right'],1,None,37.06616416602628,37.06915412499802,37.06915412499802,37.30142779101152,[0.7431134170037694],[0.07890383299672976],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
0,0,0,None,,,,,,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice_2back,Practice 2-back,,0,,001,2026-02-05_15h27.32.577,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.0,2,5,5,1,0,0,0,0,4,0,1.0,0.0,4.6527,37.32337787502911,37.326903916022275,37.326903916022275,37.33272533334869,40.727849833026994,42.29710916604381,None,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-05_15h27.32.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
0,0,0,None,None,1,None,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.78718462504912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33729337505065,42.34112479101168,42.34112479101168,42.3445219160174,46.59939637466256,46.12797195801977,54.099229124669606,54.844481333042495,54.89870612469191,55.66115208301926,54.08256245800294,57.56127433304209,58.344566165993456,58.34967733268083,58.344566165993456,58.787006375030614,right,0.3438153329771012,0.09515574999386445,None,58.79231816600077,58.79823483299697,58.79823483299697,59.78005579102319,None,59.78383645799477,59.78718462504912,59.794535541678,59.78718462504912,59.78718462504912,True,60.52804504102096,60.53352900000755,60.561163041042164,True,62.265854833007324,62.26848150003934,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,1,1,0,1,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,128,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.4874604999786243,N/A,N/A,N/A,N/A,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,N/A,None,1,None,62.28059729101369,62.28353450004943,62.28353450004943,62.513329666049685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
1,0,1,None,None,1,None,,,,1,0,1,0,0,0,0,0,,,,,1,0,1,0,62.51975541602587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.51648320804816,62.51975541602587,62.52794566669424,62.51975541602587,62.51975541602587,True,63.26136516605038,63.2664845000254,63.294709915993735,True,64.99923029099591,65.00200566602871,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,2,2,0,1,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,880,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.487563416012563,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,N/A,None,1,None,65.00238070799969,65.0113204580266,65.0113204580266,65.24653862504056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
2,0,2,None,['left'],1,None,[0.6640781659516506],[0.11501670902362093],,1,0,1,0,0,0,0,0,,,,,2,0,2,0,65.25271645799512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.24956504104193,65.25271645799512,65.26122729166333,65.25271645799512,65.25271645799512,True,65.99462325003697,65.99934704101179,66.02788254100597,True,67.73202487500384,67.73481258301763,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,3,3,1,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,664.08,0.6641,1,True,correct_rejection,0,0,0,1,0,0,1.0,1,1,2.4872009590035304,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,1,left,664.08,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['left'],1,None,67.74480683304137,67.74977483303519,67.74977483303519,67.97994362504687,[0.6640781659516506],[0.11501670902362093],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
3,0,3,None,['left'],1,None,[0.6632995000109076],[0.10454000002937391],,1,0,1,0,0,0,0,0,,,,,3,0,3,0,67.98555345804198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.98239541600924,67.98555345804198,67.99454645766333,67.98555345804198,67.98555345804198,True,68.7279516660492,68.73271208303049,68.76129954104545,True,70.46631716605043,70.46913929103175,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,4,4,2,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,663.3,0.6633,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,2.4880180420004763,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,663.3,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['left'],1,None,70.47313887503697,70.47734745801426,70.47734745801426,70.7136224580463,[0.6632995000109076],[0.10454000002937391],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
