thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,force_advance_2.keys,key_resp.rt,key_resp.duration,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,n_back_instructions.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,text_2.stopped,ir_zero_otherwise_press.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,response_time_into_iti,trials.key_resp.keys,trials.key_resp.corr,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,trials.key_resp.rt,trials.key_resp.duration,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,press_to_continue_prompt.stopped,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03406654205173254,0.03487412503454834,True,practice_0back,[0],5,1,main_0back,[0],60,1,practice_2back,[2],5,1,main_2back,[2],60,1,practice_1back,[1],5,1,main_1back,[1],60,1,6,1.75,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_15h11.43.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469819_JT_1.75,001,2026-02-04_15h11.43.094,n-back,2024.2.4,None,2026-02-04 15h11.58.621561 -0800,
0,0,0,None,None,0,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.920423834002577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09389266703510657,0.1020881250151433,0.1020881250151433,0.09580491735444714,2.339339250702566,2.3724611250218004,9.822424500016496,9.839091166683163,10.581371792010032,10.63913187571258,11.844159834028687,13.130344042030629,14.077951417013537,14.0890491256762,14.077951417013537,16.914753709046636,right,2.6940854999702424,0.08922191703459248,None,16.92188050004188,16.944490917026997,16.944490917026997,17.908988875045907,None,17.916674167034216,17.920423834002577,17.92258775071629,17.920423834002577,17.920423834002577,True,18.655404167016968,18.660844500001986,18.68939550005598,True,20.394218459026888,20.396703875041567,practice_0back,Practice 0-back,1,0,469819_JT_1.75,001,2026-02-04_15h11.43.094,1,1,0,0_back,5,1,1,1,1,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,none,no_response,None,None,0,False,miss_no_response_on_target,0,0,1,0,0,0,0.0,0,1,2.4866908330004662,N/A,N/A,N/A,N/A,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,N/A,None,0,None,20.40865279204445,20.412242667051032,20.412242667051032,20.64111170900287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469819_JT_1.75,001,2026-02-04_15h11.43.094,n-back,2024.2.4,None,2026-02-04 15h11.58.621561 -0800,
1,0,1,None,['left'],1,None,[1.8251346670440398],[0.08129562495741993],,0,0,0,0,0,0,0,0,,,,,1,0,1,0,20.64693879202241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.64393675001338,20.64693879202241,20.65567533369564,20.64693879202241,20.64693879202241,True,21.388959750009235,21.393533584021498,21.42232279200107,True,23.126732459000777,23.129240667039994,practice_0back,Practice 0-back,1,0,469819_JT_1.75,001,2026-02-04_15h11.43.094,1,1,0,0_back,5,1,2,2,2,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,1825.13,1.8251,1,True,correct_rejection,0,0,0,1,0,0,0.5,1,2,2.487261625006795,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,1825.13,1.75,1.75,0.0,0.75,2.5,during_iti,1.0751,['left'],1,None,23.139749792055227,23.143924042000435,23.143924042000435,23.374429125047754,[1.8251346670440398],[0.08129562495741993],,,,,,,,,,,,,,,,,,,,,,,,,,,,,469819_JT_1.75,001,2026-02-04_15h11.43.094,n-back,2024.2.4,None,2026-02-04 15h11.58.621561 -0800,
2,0,2,None,['left'],1,None,[1.485254957980942],[0.09542733401758596],,0,0,0,0,0,0,0,0,,,,,2,0,2,0,23.379682084021624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.376765792025253,23.379682084021624,23.389049833702543,23.379682084021624,23.379682084021624,True,24.122359792003408,24.127047542016953,24.155604709056206,True,25.861652334046084,25.865719750057906,practice_0back,Practice 0-back,1,0,469819_JT_1.75,001,2026-02-04_15h11.43.094,1,1,0,0_back,5,1,3,3,3,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,1485.25,1.4853,1,True,correct_rejection,0,0,0,1,0,0,0.6667,2,3,2.4900265829637647,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,1,left,1485.25,1.75,1.75,0.0,0.75,2.5,during_iti,0.7353,['left'],1,None,25.87047550000716,25.877349917020183,25.877349917020183,26.108394792012405,[1.485254957980942],[0.09542733401758596],,,,,,,,,,,,,,,,,,,,,,,,,,,,,469819_JT_1.75,001,2026-02-04_15h11.43.094,n-back,2024.2.4,None,2026-02-04 15h11.58.621561 -0800,
3,0,3,None,['left'],1,None,[0.9877820840338245],[0.13243224995676428],,0,0,0,0,0,0,0,0,,,,,3,0,3,0,26.114299459033646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.111106000025757,26.114299459033646,26.122535958715403,26.114299459033646,26.114299459033646,True,26.8556390000158,26.860951292037498,26.88901312503731,True,28.593966792046558,28.59678729204461,practice_0back,Practice 0-back,1,0,469819_JT_1.75,001,2026-02-04_15h11.43.094,1,1,0,0_back,5,1,4,4,4,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,987.78,0.9878,1,True,correct_rejection,0,0,0,1,0,0,0.75,3,4,2.487185582984239,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,987.78,1.75,1.75,0.0,0.75,2.5,during_iti,0.2378,['left'],1,None,28.60101816704264,28.605151167022996,28.605151167022996,28.841537209053058,[0.9877820840338245],[0.13243224995676428],,,,,,,,,,,,,,,,,,,,,,,,,,,,,469819_JT_1.75,001,2026-02-04_15h11.43.094,n-back,2024.2.4,None,2026-02-04 15h11.58.621561 -0800,
4,0,4,None,['left'],1,None,[0.6624446669593453],[0.08815270802006125],,0,0,0,0,0,0,0,0,,,,,4,0,4,0,28.847145750012714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.843959125049878,28.847145750012714,28.855785208699913,28.847145750012714,28.847145750012714,True,29.588966667011846,29.593713250011206,29.62237462500343,True,31.327385000011418,31.33024895901326,practice_0back,Practice 0-back,1,0,469819_JT_1.75,001,2026-02-04_15h11.43.094,1,1,0,0_back,5,1,5,5,5,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,662.44,0.6624,1,True,correct_rejection,0,0,0,1,0,0,0.8,4,5,2.487535000022035,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,662.44,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['left'],1,None,31.333906209038105,31.338392209028825,31.338392209028825,31.574467417027336,[0.6624446669593453],[0.08815270802006125],,,,,,,,,,,,,,,,,,,,,,,,,,,,,469819_JT_1.75,001,2026-02-04_15h11.43.094,n-back,2024.2.4,None,2026-02-04 15h11.58.621561 -0800,
0,0,0,None,,,,,,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice_0back,Practice 0-back,,0,,001,2026-02-04_15h11.43.094,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.8,0,5,4,0,0,1,1,0,4,0,0.0,0.0,0.0,31.59856687503634,31.602407625003252,31.602407625003252,31.605793417380966,35.02670162502909,36.56273175001843,None,,,,,,,469819_JT_1.75,001,2026-02-04_15h11.43.094,n-back,2024.2.4,None,2026-02-04 15h11.58.621561 -0800,
0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_15h11.43.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469819_JT_1.75,001,2026-02-04_15h11.43.094,n-back,2024.2.4,None,2026-02-04 15h11.58.621561 -0800,
0,0,0,None,['right'],1,None,[0.8566473330138251],[0.09639904199866578],,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.364530875056516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.60595979203936,36.610054125019815,36.610054125019815,36.60988183402223,40.872338208723036,40.39338670903817,48.355650959012564,48.37231762567923,49.11373233405175,49.172268583676,48.355650959012564,51.66381504200399,52.6102013750351,52.62227129168265,52.6102013750351,55.359098625020124,right,2.628539291967172,0.10988579201512039,None,55.36447654204676,55.3674058750039,55.3674058750039,56.357817250012886,None,56.36129529203754,56.364530875056516,56.37225041666922,56.364530875056516,56.364530875056516,True,57.10549833404366,57.10973637504503,57.13890987500781,True,58.84343054203782,58.846256334043574,main_0back,Main 0-back,2,0,469819_JT_1.75,001,2026-02-04_15h11.43.094,2,1,0,0_back,60,1,1,1,1,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,856.65,0.8566,1,True,hit,1,0,0,0,0,0,1.0,1,1,2.4872541669756174,N/A,N/A,N/A,N/A,N/A,N/A,1,right,856.65,1.75,1.75,0.0,0.75,2.5,during_iti,0.1066,['right'],1,None,58.84980391705176,58.85566454200307,58.85566454200307,59.09110804204829,[0.8566473330138251],[0.09639904199866578],,,,,,,,,,,,,,,,,,,,,,,56.364530875056516,,,,,,469819_JT_1.75,001,2026-02-04_15h11.43.094,n-back,2024.2.4,None,2026-02-04 15h11.58.621561 -0800,
1,0,1,None,['left'],1,None,[0.683632708969526],[0.13624650001293048],,1,0,1,0,0,0,0,0,,,,,1,0,1,0,59.0964552090154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.09375179203926,59.0964552090154,59.105659125667685,59.0964552090154,59.0964552090154,True,59.839099875011016,59.84407975000795,59.87240000005113,True,61.577192667056806,61.58006354200188,main_0back,Main 0-back,2,0,469819_JT_1.75,001,2026-02-04_15h11.43.094,2,1,0,0_back,60,1,2,2,2,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,683.63,0.6836,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,2.4877814589999616,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,683.63,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['left'],1,None,61.582571334030945,61.58901891700225,61.58901891700225,61.824551542056724,[0.683632708969526],[0.13624650001293048],,,,,,,,,,,,,,,,,,,,,,,,,,,,,469819_JT_1.75,001,2026-02-04_15h11.43.094,n-back,2024.2.4,None,2026-02-04 15h11.58.621561 -0800,
