thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,force_advance_2.keys,key_resp.rt,key_resp.duration,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,ir_zero_otherwise_press.stopped,text_2.stopped,n_back_instructions.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,response_time_into_iti,trials.key_resp.keys,trials.key_resp.corr,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,trials.key_resp.rt,trials.key_resp.duration,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846466700313613,0.05932575004408136,True,practice_2back,[2],5,1,main_2back,[2],60,1,practice_1back,[1],5,1,main_1back,[1],60,1,practice_0back,[0],5,1,main_0back,[0],60,1,6,1.25,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-05_15h54.57.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
0,0,0,None,None,1,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.177676042017993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1296902500325814,0.13631458301097155,0.13631458301097155,0.13140137536295998,2.3638093337106207,2.401181875029579,9.86338116665526,10.604340917023364,10.663292874702408,11.42996287503047,11.88353058299981,13.33002962503815,14.101493499998469,14.113328458686981,14.101493499998469,15.170533291995525,right,0.9593856250285171,0.10770129098091274,None,15.176958208030555,15.184974208008498,15.184974208008498,16.16559304203838,None,16.172176874999423,16.177676042017993,16.180014583693506,16.177676042017993,16.177676042017993,True,16.913278457999695,16.918260417005513,16.946610667044297,True,18.151703457988333,18.15415491699241,practice_2back,Practice 2-back,1,0,929519_s_1.25,001,2026-02-05_15h54.57.894,1,1,2,2_back,5,1,1,1,0,1,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,512,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1.9878298330004327,N/A,N/A,N/A,N/A,N/A,N/A,0,none,None,1.25,1.25,0.0,0.75,2.0,no_response,N/A,None,1,None,18.165928000002168,18.16905891703209,18.16905891703209,18.398621500004083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
1,0,1,None,None,1,None,,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,18.402980207989458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.400666875008028,18.402980207989458,18.413271999688973,18.402980207989458,18.402980207989458,True,19.146660541999154,19.151679083006456,19.179943625000305,True,20.38487254199572,20.387549333041534,practice_2back,Practice 2-back,1,0,929519_s_1.25,001,2026-02-05_15h54.57.894,1,1,2,2_back,5,1,2,2,0,1,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,256,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1.9878720830311067,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,0,none,None,1.25,1.25,0.0,0.75,2.0,no_response,N/A,None,1,None,20.387871375016402,20.396625125024002,20.396625125024002,20.631995083007496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
2,0,2,None,['left'],0,None,[0.5015335830394179],[0.11335812497418374],,0,0,0,0,0,0,0,0,,,,,2,0,2,0,20.63580412499141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.633397458004765,20.63580412499141,20.64648670866542,20.63580412499141,20.63580412499141,True,21.379951667040586,21.379951667040586,21.413274582999293,True,22.619008042034693,22.621462292037904,practice_2back,Practice 2-back,1,0,929519_s_1.25,001,2026-02-05_15h54.57.894,1,1,2,2_back,5,1,3,3,1,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,target,True,left,non_target_response,501.53,0.5015,0,False,incorrect_rejection,0,1,0,0,0,0,0.0,0,1,1.988728667027317,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,1,left,501.53,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['left'],0,None,22.632547083019745,22.635812833032105,22.635812833032105,22.866639791987836,[0.5015335830394179],[0.11335812497418374],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
3,0,3,None,['left'],1,None,[1.8778064170037396],[None],,0,0,0,0,0,0,0,0,,,,,3,0,3,0,22.873033000039868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.869557125028223,22.873033000039868,22.880426708670953,22.873033000039868,22.873033000039868,True,23.6137741249986,23.618646208022255,23.647084708034527,True,24.851645042013843,24.854395917034708,practice_2back,Practice 2-back,1,0,929519_s_1.25,001,2026-02-05_15h54.57.894,1,1,2,2_back,5,1,4,4,2,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,1877.81,1.8778,1,True,correct_rejection,0,0,0,1,0,0,0.5,1,2,1.9866864579962566,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1877.81,1.25,1.25,0.0,0.75,2.0,during_iti,1.1278,['left'],1,None,24.860644250002224,24.880431541998405,24.880431541998405,25.09918454202125,[1.8778064170037396],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
4,0,4,None,['left'],1,None,[1.3610709580243565],[0.08636187500087544],,0,0,0,0,0,0,0,0,,,,,4,0,4,0,25.104897917015478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.101678417006042,25.104897917015478,25.11383083369971,25.104897917015478,25.104897917015478,True,25.847041792003438,25.85269516700646,25.880406707990915,True,27.085487833013758,27.088007167039905,practice_2back,Practice 2-back,1,0,929519_s_1.25,001,2026-02-05_15h54.57.894,1,1,2,2_back,5,1,5,5,3,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,1361.07,1.3611,1,True,correct_rejection,0,0,0,1,0,0,0.6667,2,3,1.9879190410138108,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1361.07,1.25,1.25,0.0,0.75,2.0,during_iti,0.6111,['left'],1,None,27.09207683301065,27.096400750044268,27.096400750044268,27.333226667018607,[1.3610709580243565],[0.08636187500087544],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
5,0,5,None,['left'],1,None,[1.1975704159704037],[0.09636558400234208],,0,0,0,0,0,0,0,0,,,,,5,0,5,0,27.34018795803422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.33632091700565,27.34018795803422,27.347152458682345,27.34018795803422,27.34018795803422,True,28.08038320799824,28.085590167029295,28.113609249994624,True,29.318479583016597,29.321335042011924,practice_2back,Practice 2-back,1,0,929519_s_1.25,001,2026-02-05_15h54.57.894,1,1,2,2_back,5,1,6,6,4,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,1197.57,1.1976,1,True,correct_rejection,0,0,0,1,0,0,0.75,3,4,1.9868920000153594,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1197.57,1.25,1.25,0.0,0.75,2.0,during_iti,0.4476,['left'],1,None,29.325065499986522,29.33007408300182,29.33007408300182,29.565742417005822,[1.1975704159704037],[0.09636558400234208],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
6,0,6,None,['left'],1,None,[0.8903657919727266],[0.12403208302566782],,0,0,0,0,0,0,0,0,,,,,6,0,6,0,29.57043970801169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.567499792028684,29.57043970801169,29.580361958655217,29.57043970801169,29.57043970801169,True,30.313720208010636,30.318547417002264,30.34705858299276,True,31.551825167029165,31.55447908298811,practice_2back,Practice 2-back,1,0,929519_s_1.25,001,2026-02-05_15h54.57.894,1,1,2,2_back,5,1,7,7,5,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,890.37,0.8904,1,True,correct_rejection,0,0,0,1,0,0,0.8,4,5,1.987745416990947,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,890.37,1.25,1.25,0.0,0.75,2.0,during_iti,0.1404,['left'],1,None,31.556882500008214,31.56361683300929,31.56361683300929,31.799143042007927,[0.8903657919727266],[0.12403208302566782],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
0,0,0,None,,,,,,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice_2back,Practice 2-back,,0,,001,2026-02-05_15h54.57.894,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.8,2,5,4,0,1,0,1,0,4,0,0.0,0.0,0.0,31.821889833023306,31.826895708043594,31.826895708043594,31.830394916360575,35.252045375003945,36.7876798750367,None,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-05_15h54.57.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
