thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,force_advance_2.keys,force_end_of_routine_if_pressed_2.keys,force_end_of_routine_if_pressed_2.rt,force_end_of_routine_if_pressed_2.duration,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,n_back_instructions.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,text_2.stopped,ir_zero_otherwise_press.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,response_time_into_iti,block.force_end_of_routine_if_pressed_2.rt,block.force_end_of_routine_if_pressed_2.duration,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04136933299014345,0.041950416984036565,True,practice_0back,[0],5,1,main_0back,[0],60,1,practice_2back,[2],5,1,main_2back,[2],60,1,practice_1back,[1],5,1,main_1back,[1],60,1,6,2.25,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_15h24.14.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
0,0,0,None,['right'],1,[0.4738022089586593],[0.14943629101617262],None,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.394626250024885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08842724998248741,0.09456108300946653,0.09456108300946653,0.08962249966959158,2.34720729169591,2.3642046250170097,9.830464416998439,9.847131083665106,10.588584207987878,10.647172499684773,11.835030874994118,13.138506542018149,14.086068624979816,14.097268291694734,14.086068624979816,15.383888958021998,right,1.1606362499878742,0.12814333400456235,None,15.390155792003497,15.400444708007853,15.400444708007853,16.382658042013645,None,16.38879524997901,16.394626250024885,16.39714237465911,16.394626250024885,16.394626250024885,True,17.130433042009827,17.135258208028972,17.16376629198203,True,19.36893079202855,19.371720375027508,practice_0back,Practice 0-back,1,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,1,1,0,0_back,5,1,1,1,1,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,473.8,0.4738,1,True,hit,1,0,0,0,0,0,1.0,1,1,2.98813454201445,N/A,N/A,N/A,N/A,N/A,N/A,1,right,473.8,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.4738022089586593],[0.14943629101617262],None,19.382390832994133,19.386632875015493,19.386632875015493,19.616930041986052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
1,0,1,None,['left'],1,[0.5267168750287965],[0.15655137499561533],None,,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,19.624910333019216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.620234375004657,19.624910333019216,19.630517041663794,19.624910333019216,19.624910333019216,True,20.363782582979184,20.368778624979313,20.39720349997515,True,22.602212917001452,22.60457620798843,practice_0back,Practice 0-back,1,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,1,1,0,0_back,5,1,2,2,2,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,526.72,0.5267,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,2.9868657080223784,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,526.72,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5267168750287965],[0.15655137499561533],None,22.611663833027706,22.618385958019644,22.618385958019644,22.848996833025012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
2,0,2,None,['left'],1,[0.6307167499908246],[0.1372112079989165],None,,,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,22.8557410420035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.852461292000953,22.8557410420035,22.863657333659162,22.8557410420035,22.8557410420035,True,23.59718745801365,23.60138075001305,23.630409666977357,True,25.835331375012174,25.83803674997762,practice_0back,Practice 0-back,1,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,1,1,0,0_back,5,1,3,3,3,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,630.72,0.6307,1,True,correct_rejection,0,0,0,1,0,0,1.0,3,3,2.987947334011551,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,1,left,630.72,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.6307167499908246],[0.1372112079989165],None,25.84255308302818,25.846497583028395,25.846497583028395,26.082898874999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
3,0,3,None,['left'],1,[0.5464143750141375],[0.15007208299357444],None,,,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,26.088266792008653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.084605499985628,26.088266792008653,26.097085166668208,26.088266792008653,26.088266792008653,True,26.8305212080013,26.835009082977194,26.863843708008062,True,29.06864479201613,29.071825458027888,practice_0back,Practice 0-back,1,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,1,1,0,0_back,5,1,4,4,4,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,546.41,0.5464,1,True,correct_rejection,0,0,0,1,0,0,1.0,4,4,2.987785375036765,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,546.41,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5464143750141375],[0.15007208299357444],None,29.075699666980654,29.080029667005874,29.080029667005874,29.3156205000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
4,0,4,None,['left'],1,[0.5033412919729017],[0.14862429100321606],None,,,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,29.320476333028637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.317473167029675,29.320476333028637,29.330355333692083,29.320476333028637,29.320476333028637,True,30.063593333004974,30.06795024999883,30.097133332979865,True,32.30171024997253,32.3045610000263,practice_0back,Practice 0-back,1,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,1,1,0,0_back,5,1,5,5,5,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,503.34,0.5033,1,True,correct_rejection,0,0,0,1,0,0,1.0,5,5,2.987826791999396,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,503.34,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5033412919729017],[0.14862429100321606],None,32.30697254202096,32.31370220798999,32.31370220798999,32.54925333301071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
0,0,0,None,,,,,,None,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice_0back,Practice 0-back,,0,,001,2026-02-04_15h24.14.988,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.0,0,5,5,1,0,0,0,0,4,0,1.0,0.0,4.6527,32.57063583302079,32.57397370802937,32.57397370802937,32.580537250331446,35.98035529197659,37.537704583024606,None,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
0,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_15h24.14.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
0,0,0,None,['left'],1,[0.5281450830516405],[0.1491144999745302],None,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.174975167028606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.57501016702736,37.578459958021995,37.578459958021995,37.585416207974774,41.84716899966976,41.368672667013016,49.33084733301075,49.34751399967742,50.09011587500572,50.14715116669346,49.31895604199963,52.638476166990586,53.58574262500042,53.597023249665895,53.58574262500042,54.16710045799846,right,0.4875458330498077,0.08447037497535348,None,54.17244054202456,54.175414750003256,54.175414750003256,55.16604445799021,None,55.17171216697898,55.174975167028606,55.18047379167207,55.174975167028606,55.174975167028606,True,55.9136642080266,55.91836204199353,55.947443625016604,True,58.15163916698657,58.15449470799649,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,1,1,1,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,528.15,0.5281,1,True,correct_rejection,0,0,0,1,0,0,1.0,1,1,2.9872191670001484,N/A,N/A,N/A,N/A,N/A,N/A,1,left,528.15,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5281450830516405],[0.1491144999745302],None,58.15887558297254,58.163254707993474,58.163254707993474,58.39923312497558,,,,,,,,,,,,,,,,,,,,,,,55.174975167028606,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
1,0,1,None,['left'],1,[0.36376850004307926],[0.13497804198414087],None,,,,1,0,1,0,0,0,0,0,,,,,1,0,1,0,58.40424979198724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.40098608302651,58.40424979198724,58.41379779164369,58.40424979198724,58.40424979198724,True,59.147293207992334,59.15235416701762,59.18055241700495,True,61.38540808297694,61.38821875001304,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,2,2,2,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,363.77,0.3638,1,True,correct_rejection,0,0,0,1,0,0,1.0,2,2,2.9878569170250557,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,363.77,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.36376850004307926],[0.13497804198414087],None,61.390795750019606,61.39704516698839,61.39704516698839,61.632447791984305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
